ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,4642805,"COLUMN, Steering Complete",,,,,,,available,138.73,109.02,/parts/mopar-column-steering~4642805.html
2,56002951,"LEVER, Turn Signal, Int. Wiper/Washer, Dimmer Switch",,,,,,,discontinued,,,/parts/mopar-lever-turn-sig-int-wipe-wash-dim~56002951.html
3,52006207,"LEVER, Tilt Release",,,,,,,discontinued,,,
4,4642732,"SHAFT, Intermediate Column To Gear",,,,,,,discontinued,,,/parts/mopar-shaft-intermediate-steering~4642732.html
5,6501596,"SCREW, w/Washer Column Mtg.",,,,2,1,,available,8.65,5.94,/parts/mopar-screw-hex-head~6501596.html
6,6100517,"NUT, Lower Column Mtg.",,,,2,1,,available,5.3,3.61,/parts/mopar-nut-hex-flange-lock~6100517.html
,4642809,"BRACKET, Column Support",,,,,,,discontinued,,,
,J3250575,"SWITCH, Ignition Lock",,,,,,,discontinued,,,/parts/mopar-switch-ign~j3250575.html
