ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
2,4643530AB,INSULATOR Engine Mount,Right,,,,,,,available,57.4,39.84,/parts/mopar-insulator-engine-mount~4643530ab.html
4,154935AA,SCREW SCREW,,,,6,1,,,discontinued,,,/parts/mopar-screw~154935aa.html
5,5037298AA,BRACKET Isolator,,,,,,,,discontinued,,,/parts/mopar-bracket-isolator~5037298aa.html
,6035864,NUT,,,,,,,,discontinued,,,/parts/mopar-nut-hex-lock~6035864.html
,4643546,SHIELD Heat,,,,,,,,available,52.75,36.76,/parts/mopar-shield-heat~4643546.html
