ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
2,5029171AB,SEAL Air Cleaner,,,,,,,,available,10.65,8.62,/parts/mopar-seal-air-cleaner~5029171ab.html
3,5029047AA,DEFLECTOR Air,,,,,,,,available,20.49,16.1,/parts/mopar-deflector-air~5029047aa.html
