ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,68066026AA,LABEL Vehicle Emission Control Information,,2010,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,68066026AB,,,available,4.25,2.97,,0.50 Pounds,/parts/mopar-label-vehicle-emission-control-in~68066026aa.html
2,5181401AA,LABEL Air Conditioning System,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,discontinued,,,,,/parts/mopar-label-air-conditioning-system~5181401aa.html
