ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,5245370,"BRACKET, Rt., Cable",,,,,,,discontinued,,,/parts/mopar-bracket-accel-cable-support-rt~5245370.html
2,154777,SCREW,,,,4,1,,available,14.2,7.13,/parts/mopar-bolt~154777.html
3,4763969,"CABLE, Accelerator",,,29,,,,discontinued,,,/parts/mopar-cable-accelerator~4763969.html
3,5245657,"CABLE, Accelerator",,,27,,,,discontinued,,,/parts/mopar-cable-accelerator~5245657.html
4,04848836AA,"BRACKET, Lt., Cable",,,29,,,,discontinued,,,
4,4763441,"BRACKET, Lt., Cable",,,27,,,,discontinued,,,/parts/mopar-bracket-accel-cable-support-lt~4763441.html
4,5245371,"BRACKET, Lt., Cable",,,27,,,,discontinued,,,
5,4763764,"LINKAGE ASSEMBLY, Throttle Body",,,,,,,discontinued,,,/parts/mopar-link-throttle-body~4763764.html
6,4882274,"SCREW, Linkage Adjusting",,,,,,,discontinued,,,/parts/mopar-screw-adjusting~4882274.html
7,4606041,"CLIP, Accelerator Cable",,,,,,,discontinued,,,/parts/mopar-clip-accelerator-cable~4606041.html
7,5245520,"CLIP, Accelerator Cable",,,,,,,discontinued,,,/parts/mopar-clip-accel-cable~5245520.html
