ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5037344AA,THERMOSTAT,,"2013-2017, 2008-2010, 2003-2006","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,558,380.76,5.4 x 5.4 x 3.2 inches,0.80 Pounds,/parts/mopar-thrmostat~5037344aa.html
2,5037173AA,GASKET Thermostat,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,39.7,27.61,5.3 x 5.1 x 0.3 inches,0.40 Pounds,/parts/mopar-gasket-thermostat~5037173aa.html
3,5037174AD,HOUSING Thermostat,,"2013-2015, 2008-2010, 2004-2006","COMP. Coupe, SRT, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5045558AA,,,available,582,381.7,10.6 x 6.5 x 6.6 inches,3.20 Pounds,/parts/mopar-housing-thermostat~5037174ad.html
4,6509056AA,BOLT Hex Head M6x1.00x30.00,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,6,1,,,,available,,14.51,2.0 x 1.0 x 1.0 inches,0.50 Pounds,/parts/mopar-bolt-hex-head~6509056aa.html
