ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5035455AA,WIRING Body,,,,,,5035455AB,,available,725,478.5,/parts/mopar-wiring-body~5035455aa.html
2,5035155AE,WIRING Rear Fascia,,,,,,,,available,311,207,/parts/mopar-wiring-rear-fascia~5035155ae.html
3,5043078AC,WIRING Underbody Contains Battery Wiring,,,,,,,,discontinued,,,
4,5035329AB,WIRING Jumper Auxiliary Port,,,,,,,,available,27.2,18.81,/parts/mopar-wiring-jumper~5035329ab.html
