ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5038586AC,COVER Ignition Coil,,,,,,5038586AD,,available,359,254.13,/parts/mopar-cover-ignition-coil~5038586ac.html
2,5038587AD,COVER Ignition Coil,,,,,,5038587AE,,available,258,173.25,/parts/mopar-cover-ignition-coil~5038587ad.html
3,5037832AF,CABLE Ignition,,,,10,1,,,available,11.05,8.91,/parts/mopar-cable-ignition~5037832af.html
4,6104572AA,SCREW Tapping M4.2X1.4X50.0,,,,20,1,,,available,5.5,3.73,/parts/mopar-screw-tapping~6104572aa.html
5,5037127AB,COIL Ignition,,,,10,1,,,available,94.05,63.28,/parts/mopar-coil-ignition~5037127ab.html
6,6502993,BOLT Hex Flange Head M6x1.00x12.00,,,,2,1,,,available,3.1,2.1,/parts/mopar-bolt-hex-flange-head~6502993.html
7,68080837AB,CAPACITOR Ignition,,,,2,1,,,available,11.3,7.81,/parts/mopar-capacitor-ignition~68080837ab.html
8,SVRE10PMC5,SPARK PLUG,,,,10,1,68304015AA,,available,17.65,12.23,/parts/mopar-plug~svre10pmc5.html
