ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,6501706,NUT,,,,2,,,discontinued,,,
2,6100887,WASHER,,,,4,,,discontinued,,,
4,4643520,"BAR, Torsion Stabilizer",,,,,,,available,76.78,60.34,/parts/mopar-bar-torsion-differential-stabil~4643520.html
5,4643319,"CROSSEMBER, Transmission Mounting",,,,,,,discontinued,,,
6,6502337,NUT (M10x1.50),,,,3,1,,available,8.75,6,/parts/mopar-nut-hex-locking~6502337.html
7,52001172,"BUSHING, Sway Bar Clamp",,,,,,,discontinued,,,/parts/mopar-sway-stabilizer-bar-70-d-p~52001172.html
8,52005654,"RETAINER, Sway Bar Bushing",,,,,,,discontinued,,,
9,6101413,"BOLT, w/ WASHER (M10x1.50x27.00)",,,,2,,,discontinued,,,
10,6501596,"BOLT, w/ WASHER (M10x1.50x45.00)",,,,2,1,,available,8.65,5.94,/parts/mopar-screw-hex-head~6501596.html
11,4643318,"MOUNT, Transmission",,,,,,4643318AC,discontinued,,,/parts/mopar-insulator-transmission~4643318.html
12,6100945,BOLT (M10x1.50x75.00),,,,2,1,,discontinued,,,/parts/mopar-bolt-hex-head~6100945.html
13,6101467,NUT (M8x1.25),,,,2,1,,available,8.15,5.65,/parts/mopar-nut-hex-flange-lock~6101467.html
14,4642876,PLATE,,,,,,,discontinued,,,/parts/mopar-plate-floor-console~4642876.html
