ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,6100047,"NUT, Support Bracket, (M6x1.00), 1992-3",,,,,,,available,9.35,6.52,/parts/mopar-nut-hex-nut-coned-washer~6100047.html
2,4643830,"BRACKET, Support, 1992-93",,,,,,,discontinued,,,
3,4723550,"CANISTER, Vapor",,1992-95,,,,,discontinued,,,/parts/mopar-cnstr-pkg-vapor~4723550.html
3,53030381,"CANISTER, Vapor",,,,,,,discontinued,,,
4,4288235,"BRACKET, Vapor Canister",,,,,,,discontinued,,,
5,0219462,"NUT, Bracket, (.250-20)",,,,3,,,discontinued,,,
6,4192074,"CAP, Dust",,,,,,,discontinued,,,/parts/mopar-cap-vapor-canister~4192074.html
7,9428962,"WELD STUD, Canister Bracket, (1/4-20)",,,,3,1,,discontinued,,,/parts/mopar-screw-internal-weld-stud~9428962.html
8,9430631,"BOLT, Canister Strap, (1/4-20x1.50)",,,,,,,discontinued,,,
9,3733285,"CAP, Vent Nipple, 1992-95",,,,,,,discontinued,,,
11,2448761,"CLAMP, Hose, 1992-95",,,,,,33000784,available,5.15,3.5,/parts/mopar-clamp-hose~2448761.html
