ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
19,68045324AA,BEARING KIT Mainshaft Mid,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,64.75,54,5.9 x 4.3 x 2.1 inches,1.90 Pounds,/parts/mopar-bearing-mainshaft-mid~68045324aa.html
20,68259024AA,GEAR Sixth,,2015-2017,"29; SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,,available,250,165.38,5.5 x 4.7 x 3.9 inches,1.40 Pounds,/parts/mopar-gear-sixth~68259024aa.html
21,68211568AA,GEAR Fifth,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,108,88.48,5.0 x 4.5 x 3.4 inches,2.40 Pounds,/parts/mopar-gear-fifth~68211568aa.html
22,68029161AA,SNAP RING,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,41.75,28.95,2.1 x 2.0 x 0.2 inches,0.50 Pounds,/parts/mopar-ring~68029161aa.html
23,68029160AA,WASHER,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,27.1,18.76,1.9 x 1.1 x 0.5 inches,0.50 Pounds,/parts/mopar-washer~68029160aa.html
24,68029147AA,RETAINER,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,10.1,6.99,2.7 x 2.7 x 0.2 inches,0.50 Pounds,/parts/mopar-retainer~68029147aa.html
25,68166794AA,SYNCHRONIZER,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,68028594AA,,available,176,118.13,5.0 x 4.4 x 2.2 inches,1.70 Pounds,/parts/mopar-synch~68166794aa.html
26,68028593AA,BLOCKER RING 5th To 6th,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,68028593AB,,,available,317,211.5,3.2 x 3.0 x 1.6 inches,0.60 Pounds,/parts/mopar-ring-5th-to-6th~68028593aa.html
27,68199045AA,GEAR Reverse,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,380,250.88,6.0 x 5.7 x 2.7 inches,3.80 Pounds,/parts/mopar-gear-reverse~68199045aa.html
28,4626558,NEEDLE BEARING Reverse Gear,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,35.8,24.81,3.2 x 3.0 x 1.6 inches,1.50 Pounds,/parts/mopar-bearing-reverse-gear~4626558.html
29,4626560,WASHER Reverse Thrust,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,24.15,16.72,,0.50 Pounds,/parts/mopar-gear-reverse-thrust~4626560.html
30,4626536,SNAP RING,,"2013-2017, 1992-2006","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,8.65,5.94,1.6 x 1.7 x 0.1 inches,0.50 Pounds,/parts/mopar-ring~4626536.html
31,4626562,WASHER Mainshaft,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,30.45,21.09,1.6 x 1.6 x 0.2 inches,0.50 Pounds,/parts/mopar-washer-mainshaft~4626562.html
32,4626563,ROLLER BEARING Main Shaft,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,110,72.62,3.3 x 3.0 x 1.6 inches,0.80 Pounds,/parts/mopar-bearing-main-shaft~4626563.html
33,4626562,WASHER Mainshaft,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,30.45,21.09,1.6 x 1.6 x 0.2 inches,0.50 Pounds,/parts/mopar-washer-mainshaft~4626562.html
34,4626536,SNAP RING,,"2013-2017, 1992-2006","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,8.65,5.94,1.6 x 1.7 x 0.1 inches,0.50 Pounds,/parts/mopar-ring~4626536.html
