ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5064973AC,ANTENNA Base Cable And Bracket,,,,,,68328996AA,,available,155,96.05,/parts/mopar-base-base-cable-and-bracket~5064973ac.html
2,5035310AB,AMPLIFIER Antenna,,,,,,,,available,109,69.71,/parts/mopar-amplifier-antenna~5035310ab.html
3,5064186AA,ANTENNA Global Positioning,,,,,,,,available,105,71.21,/parts/mopar-antenna-global-positioning~5064186aa.html
4,68204715AA,ANTENNA Cable & Base Assy,,,,,,,,available,78.7,53.42,/parts/mopar-antenna-cable-base-assy~68204715aa.html
