ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,4708488,EXHAUST ASSEMBLY,,,,,,,discontinued,,,
1,4708489,EXHAUST ASSEMBLY,,,,,,,discontinued,,,/parts/mopar-exhaust-assembly~4708489.html
1,4763574,EXHAUST ASSEMBLY,,,,,,,discontinued,,,/parts/mopar-converter-right~4763574.html
1,4763575,EXHAUST ASSEMBLY,,,,,,,discontinued,,,
2,4643169,"SPRING, Exhaust, 1992-93",,,,16,1,,available,3.33,2.62,/parts/mopar-spring-exhaust~4643169.html
3,5217003,BOLT,,,,12,1,,discontinued,,,/parts/mopar-bolt-hex-flange-head~5217003.html
3,E0035280,BOLT,,,,,,,discontinued,,,
4,4643279,RETAINER,,,,8,,,discontinued,,,
5,4427610,NUT,,,,4,,,discontinued,,,
6,4427779,"RING, Seal",,1992-93,,2,,,discontinued,,,
6,4763481,"RING, Seal",,1994-95,,2,1,,available,8.8,6.92,/parts/mopar-seal-ring~4763481.html
7,4301631,"SPRING, Exhaust Pipe Flange",,,,4,1,,available,7.88,6.2,/parts/mopar-spring-exh-pipe-flg~4301631.html
7,E0035281,"SPRING, Exhaust Pipe Flange",,,,,,,discontinued,,,/parts/mopar-spring-mopar-exhaust-progr~e0035281.html
8,4004445,"CLAMP, Exhaust Tip",,,,2,1,,discontinued,,,/parts/mopar-clamp-exhaust~4004445.html
9,4642642,"INSULATION, Thermal, Sill, Right",,,,,,,discontinued,,,
9,4642643,"INSULATION, Thermal, Sill, Right",,,,,,,discontinued,,,
11,6100132,WASHER,,,,16,,,discontinued,,,
12,4709128,"TIP, Exhaust, Right",,,,2,1,,discontinued,,,/parts/mopar-exhaust-t-tip-exit~4709128.html
12,4709129,"TIP, Exhaust, Right",,,,2,1,,discontinued,,,/parts/mopar-exhaust-t-tip-exit~4709129.html
13,6033047,BOLT,,,,8,1,,discontinued,,,/parts/mopar-bolt-shoulder~6033047.html
14,4708458,ISOLATOR,,,,2,1,,discontinued,,,/parts/mopar-support-exhaust-isolator~4708458.html
15,4709036,ISOLATOR,,,,,,,discontinued,,,
15,4709038,ISOLATOR,,,,,,,discontinued,,,/parts/mopar-isolator-exhaust~4709038.html
16,6101283,"U-NUT, 1992-93",,,,8,1,,discontinued,,,/parts/mopar-nut~6101283.html
