ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,4709034,"FASCIA, REAR",,,,,,,discontinued,,,/parts/mopar-fascia-rear~4709034.html
1,4761778,"FASCIA, REAR",,,,,,,discontinued,,,/parts/mopar-fascia-rear~4761778.html
1,4864967,"FASCIA, REAR",,,27,,,,available,160.02,125.75,/parts/mopar-fascia-rear-in-prime-bux~4864967.html
1,4864970,"FASCIA, REAR",,,,,,,discontinued,,,/parts/mopar-fascia-rear-in-prime~4864970.html
1,LB05SBE,"FASCIA, REAR",,,29,,,,discontinued,,,
2,6101448,"REINFORCEMENT, Fascia",,,,6,1,,available,11.3,7.86,/parts/mopar-nut-hex-nut-coned-washer~6101448.html
2,4643221,"REINFORCEMENT, Fascia",,,,,,,discontinued,,,
2,4708342,"REINFORCEMENT, Fascia",,,,,,,available,216.03,169.76,/parts/mopar-fascia-rear~4708342.html
3,6501067,"RETAINER, Fascia to Reinforcement",,,,9,1,,available,9.65,6.7,/parts/mopar-pin-push~6501067.html
5,0180020,SCREW,,,,5,,,discontinued,,,
6,4643222,"RETAINER, Fascia to Lower Rail",,1992-94,,,,,available,9,7.07,/parts/mopar-retainer-rr-fascia-to-lwr-rail~4643222.html
6,4709411,"RETAINER, Fascia to Lower Rail",,1994-96,,,,,discontinued,,,/parts/mopar-retainer-rail-frm-lwr-to-rr-fascia~4709411.html
7,6100049,NUT,,,,4,1,6102612AA,available,2.3,1.57,/parts/mopar-nut-hex~6100049.html
9,6029237,SCREW,,,,,,,discontinued,,,
10,6031012,SCREW,,,,4,,,discontinued,,,
11,4709037,"SHIELD, Lower Rear Splash",,,,,,,discontinued,,,/parts/mopar-shield-splash~4709037.html
11,4642760,"SHIELD, Lower Rear Splash",Right,,,,,,discontinued,,,/parts/mopar-shield-splash-rr-lwr-rt~4642760.html
11,4642761,"SHIELD, Lower Rear Splash",Left,,,,,,discontinued,,,
11,4709085,"SHIELD, Lower Rear Splash",,,,,,,discontinued,,,/parts/mopar-shield-heat~4709085.html
12,4642715,FOAM,,,,,,,discontinued,,,
12,4708347,FOAM,,,27,,,,discontinued,,,/parts/mopar-absorber-fascia~4708347.html
12,4763373,FOAM,,,29,,,,discontinued,,,/parts/mopar-absorber-fascia~4763373.html
13,4270974,LICENSE PLATE PACKAGE,,,,,,,available,7.75,5.36,/parts/mopar-brkt~4270974.html
13,4643662,LICENSE PLATE PACKAGE,,,,,,,discontinued,,,
14,4642922,"RETAINER, Fascia to Quarter Panel",,,27,2,1,,available,4.87,3.83,/parts/mopar-retainer-fascia~4642922.html
14,5245790,"RETAINER, Fascia to Quarter Panel",Right,,29,,,,discontinued,,,/parts/mopar-retainer-rr-fascia~5245790.html
14,5245791,"RETAINER, Fascia to Quarter Panel",Left,,29,,,,discontinued,,,/parts/mopar-retainer-rr-fascia~5245791.html
,4708344,"PLATE, Adapter Fascia To Frame",,,,2,1,,available,171,97.45,/parts/mopar-adaptor-bumper-fascia~4708344.html
