ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,4642963,HOOD ASSEMBLY,,,,,,,discontinued,,,
2,4642874,"SCREEN ASSEMBLY, Air Inlet , Right",,,,,,,discontinued,,,
2,4642875,"SCREEN ASSEMBLY, Air Inlet , Right",,,,,,,discontinued,,,
4,4708281,"BUMPER, Stabilizer",,,,2,1,,discontinued,,,/parts/mopar-stop-bmpr-deck-lid~4708281.html
5,35026047,LATCH ASSEMBLY,,,,,,,discontinued,,,/parts/mopar-latch-hood~35026047.html
5,4708049,LATCH ASSEMBLY,,,,,,,discontinued,,,
5,4708092,LATCH ASSEMBLY,,,,,,,discontinued,,,
6,6100560,SCREW and WASHER,,,,2,,,discontinued,,,
7,6100591,"SCREW, M8x1.25x25.00",,,,2,1,,discontinued,,,/parts/mopar-screw-hex-head~6100591.html
8,4708435,HINGE ASSY.,,,,,,,discontinued,,,
8,4709074,HINGE ASSY.,,,,,,,available,,,/parts/mopar-hinge-hood-hinge-lift-assist~4709074.html
8,4709075,HINGE ASSY.,,,,,,,discontinued,,,/parts/mopar-hinge-hood-hinge-lift-assist~4709075.html
8,4778133,HINGE ASSY.,,,,,,,discontinued,,,/parts/mopar-brkt-pkg-pkg-hood-hinge-repair~4778133.html
10,4642967,SHIM,,,,,,,discontinued,,,
11,4708018,"BRACE, Hood Latch Support, Right",,,,,,,discontinued,,,
11,4708019,"BRACE, Hood Latch Support, Right",,,,,,,discontinued,,,
12,6500532,NUT and WASHER,,,,2,,,discontinued,,,
13,6100516,NUT,,,,2,1,,available,,14.51,/parts/mopar-nut-hex-flange-lock~6100516.html
15,4708004,"PIVOT ASSY., Hood Hinge Lift Assist , Right",,,,,,,discontinued,,,
15,4708005,"PIVOT ASSY., Hood Hinge Lift Assist , Right",,,,,,,discontinued,,,
16,6100586,"SCREW, M8x1.25x40.00",,,,10,1,,available,7.1,4.95,/parts/mopar-bolt-hex-head~6100586.html
17,4643876,SHIM,,,,,,,discontinued,,,
18,4643814,"STRIKER, Hood Latch Secondary",,,,,,,discontinued,,,
19,6100557,"SCREW, M6x1.00x20.00",,,,11,1,,available,9.2,6.41,/parts/mopar-screw-hex-head~6100557.html
20,J0750552,SHIM,,,,,,,discontinued,,,
21,35022880,"STRIKER, Hood Latch",,,,2,,,discontinued,,,
22,6100558,SCREW,,,,2,1,,available,7.55,6.55,/parts/mopar-bolt-hex-head~6100558.html
23,4643874,"BRACKET, Lower Hood Lateral Stabilizer, Right",,,,,,,available,20.59,16.18,/parts/mopar-bracket-lower-hood-lateral~4643874.html
23,4643875,"BRACKET, Lower Hood Lateral Stabilizer, Right",,,,,,,available,20.59,16.18,/parts/mopar-bracket-lower-hood-lateral~4643875.html
25,4643374,"BRACKET, Lower Hood Lateral Stabilizer",,,,2,1,,discontinued,,,/parts/mopar-bracket-lower-hood-lateral~4643374.html
26,6501501,"SCREW and WASHER, M6x1.00x20.00",,,,2,,,discontinued,,,
27,4643463,SHIM,,,,,,,available,12.14,9.54,/parts/mopar-shim-hood-latch~4643463.html
28,4709208,"BRACKET, Rear Hood Hold Down, Right",,,,,,,discontinued,,,
28,4709209,"BRACKET, Rear Hood Hold Down, Right",,,,,,,discontinued,,,
29,4643055,"BRACKET ASSY., Rear Hold Down",,,,2,,,discontinued,,,
29,6501734,"SCREW, M8x1.25x35.00",,,,4,,,discontinued,,,
30,4642966,HANDLE AND CABLE ASSEMBLY,,,,,,,discontinued,,,/parts/mopar-handle~4642966.html
