ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,4643872,"RECEIVER, Ash (Black)",,,,2,1,,discontinued,,,/parts/mopar-spring-ash-receiver-retent~4643872.html
1,4761733,"RECEIVER, Ash (Black)",,,,,,,discontinued,,,
2,4643397,"BEZEL, Console",,,,,,,discontinued,,,
2,6032268,"BEZEL, Console",,,,6,1,,discontinued,,,/parts/mopar-clip~6032268.html
2,HV33LX9,"BEZEL, Console",,,27,,,,discontinued,,,
2,HV33MD5,"BEZEL, Console",,,27,,,,discontinued,,,
2,HV33SX4,"BEZEL, Console",,,27,,,,discontinued,,,/parts/mopar-bezel-console~hv33sx4.html
2,KS79MX4,"BEZEL, Console",,,29,,,,discontinued,,,
4,PF25TX7,"CONSOLE, Assembly (Items 7 & 8 Included)",,,29,,,,discontinued,,,/parts/mopar-console-front~pf25tx7.html
4,PF42RD5,"CONSOLE, Assembly (Items 7 & 8 Included)",,,,,,,discontinued,,,/parts/mopar-console-front~pf42rd5.html
4,PF42RKA,"CONSOLE, Assembly (Items 7 & 8 Included)",,,,,,,discontinued,,,/parts/mopar-console-front~pf42rka.html
4,PF42SX7,"CONSOLE, Assembly (Items 7 & 8 Included)",,,,,,,discontinued,,,
6,3747633,"SHELL, w/Clamp, C/Lighter",,,,,,,available,37.25,20.96,/parts/mopar-shell-cigar-lighter~3747633.html
6,3004190,"SHELL, w/Clamp, C/Lighter",,,,,,,discontinued,,,
6,4373689,"SHELL, w/Clamp, C/Lighter",,,,,,,discontinued,,,
7,EK21LX9,"BOOT, Parking Brake",,,,,,,discontinued,,,
8,4642723,"BOOT, Shift",,,,,,,discontinued,,,
8,4643033,"BOOT, Shift",,,,,,,discontinued,,,
8,EK22LX9,"BOOT, Shift",,,,,,,discontinued,,,/parts/mopar-boot-shifter-lever~ek22lx9.html
