ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,FW05LX9,"CARPET and SILENCER, Cowl (Left)",,,,,,,discontinued,,,
1,FW05MKA,"CARPET and SILENCER, Cowl (Left)",,,,,,,discontinued,,,
1,JX27MKA,"CARPET and SILENCER, Cowl (Left)",,,,,,,discontinued,,,
1,JX27MX9,"CARPET and SILENCER, Cowl (Left)",,,,,,,available,39.25,20.44,/parts/mopar-carpet-as-cowl-sill-rt~jx27mx9.html
1-8,LJ95PXK,"CARPET, ( Includes Insulation 4763690)",,,,,,,available,142,73.87,/parts/mopar-carpet-frt-floor~lj95pxk.html
1-8,4763690,"CARPET, ( Includes Insulation 4763690)",,,,,,,discontinued,,,
1-8,LJ94PKA,"CARPET, ( Includes Insulation 4763690)",,,,,,,discontinued,,,
1-8,LJ94PX9,"CARPET, ( Includes Insulation 4763690)",,,,,,,discontinued,,,/parts/mopar-carpet-frt-floor~lj94px9.html
1-8,LJ94PXK,"CARPET, ( Includes Insulation 4763690)",,,,,,,discontinued,,,
1-8,LJ95PX9,"CARPET, ( Includes Insulation 4763690)",,,,,,,discontinued,,,/parts/mopar-carpet-frt-floor~lj95px9.html
1-8,PF67RKA,"CARPET, ( Includes Insulation 4763690)",,,,,,,discontinued,,,/parts/mopar-carpet-frt-floor-molded-with-dead~pf67rka.html
1-8,PF67RX9,"CARPET, ( Includes Insulation 4763690)",,,,,,,discontinued,,,
1-8,PN68SKA,"CARPET, ( Includes Insulation 4763690)",,,,,,,discontinued,,,
1-8,PN68SX9,"CARPET, ( Includes Insulation 4763690)",,,,,,,discontinued,,,
1-8,PN69SKA,"CARPET, ( Includes Insulation 4763690)",,,,,,,discontinued,,,
1-8,PN69SX9,"CARPET, ( Includes Insulation 4763690)",,,,,,,discontinued,,,
2,FW03LX9,"CARPET and SILENCER, Floor (Left), Up to 2-16-94",,,,,,,discontinued,,,
2,FW03MKA,"CARPET and SILENCER, Floor (Left), Up to 2-16-94",,,,,,,discontinued,,,
3,FW04LX9,"CARPET and SILENCER, Floor (Right), Up to 2-16-94",,,,,,,discontinued,,,
3,FW04MKA,"CARPET and SILENCER, Floor (Right), Up to 2-16-94",,,,,,,discontinued,,,
4,FV92LX9,"CARPET and SILENCER, Tunnel (Left), Up to 2-16-94",,,,,,,discontinued,,,
4,FV92MKA,"CARPET and SILENCER, Tunnel (Left), Up to 2-16-94",,,,,,,discontinued,,,/parts/mopar-carpet-tunnel-side~fv92mka.html
5,FW02LX9,"CARPET and SILENCER, Tunnel (Right), Up to 2-16-94",,,,,,,discontinued,,,
5,FW02MKA,"CARPET and SILENCER, Tunnel (Right), Up to 2-16-94",,,,,,,discontinued,,,
6,FW06LX9,"CARPET and SILENCER, Cowl (Right)",,,,,,,discontinued,,,
6,FW06MKA,"CARPET and SILENCER, Cowl (Right)",,,,,,,discontinued,,,
6,JX26MKA,"CARPET and SILENCER, Cowl (Right)",,,,,,,available,25.2,4.38,/parts/mopar-carpet-as-cowl-sill-rt~jx26mka.html
6,JX26MX9,"CARPET and SILENCER, Cowl (Right)",,,,,,,discontinued,,,/parts/mopar-carpet-as-cowl-sill-rt~jx26mx9.html
7,FW08LX9,"CARPET and SILENCER, Bulkhead (Right), Up to 2-16-94",,,,,,,available,51.3,8.91,/parts/mopar-carpet-rear-bulkhead~fw08lx9.html
8,FW07LX9,"CARPET and SILENCER, Bulkhead (Left), Up to 2-16-94",,,,,,,discontinued,,,
9,4643895,"HEEL PAD, Floor Carpet",,,,,,,discontinued,,,
10,4709277,"INSULATION, Floor Left",,,,,,,discontinued,,,
11,4709276,"INSULATION, Floor Right",,,,,,,discontinued,,,
12,82300167,FLOOR MATS,,,,,,,discontinued,,,
12,82300379,FLOOR MATS,,,,,,,discontinued,,,
,0154405,"SCREW, Carpet Cowl Side Attaching",,,,2,,,discontinued,,,
