ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,4643034,"LATCH, Door",Right,,27,,,,discontinued,,,/parts/mopar-front-door-override-latch~4643034.html
1,4643035,"LATCH, Door",Left,,27,,,,discontinued,,,
1,4763186,"LATCH, Door",Right,,29,,,,discontinued,,,
1,4763187,"LATCH, Door",Left,,29,,,,discontinued,,,
2,6501373,"SCREW, Latch",,,,6,1,,available,9,6.23,/parts/mopar-screw-hex-head~6501373.html
3,4643798,"HOUSING, Remote Control",Right,,27,,,,discontinued,,,/parts/mopar-housing-door-latch-remote~4643798.html
3,4643799,"HOUSING, Remote Control",Left,,27,,,,available,47.89,37.64,/parts/mopar-housing-door-latch-remote~4643799.html
3,4763618,"HOUSING, Remote Control",Right,,29,,,,discontinued,,,/parts/mopar-housing-door-remote-control~4763618.html
3,4763619,"HOUSING, Remote Control",Left,,29,,,,discontinued,,,/parts/mopar-housing-door-remote-control~4763619.html
4,0154657,"SCREW, Housing",,,,2,,,discontinued,,,
6,4708358,"LINK, w/Sleeve, Right",,,,,,,discontinued,,,/parts/mopar-frt-dr-i-s-remote-release~4708358.html
6,4708359,"LINK, w/Sleeve, Right",,,,,,,discontinued,,,/parts/mopar-link-frt-dr-i-s-remote-release-l~4708359.html
7,4643804,"LINK, Latch, Right",,,,,,,discontinued,,,/parts/mopar-linkage-front-door-latch~4643804.html
7,4643805,"LINK, Latch, Right",,,,,,,discontinued,,,
8,4643066,"STRIKER, Door",,,,2,1,,available,18.1,15.72,/parts/mopar-striker-door-latch~4643066.html
9,4643067,"SPACER, Striker",,,,2,1,4643067AB,available,7.7,6.35,/parts/mopar-shim-door-lock-striker~4643067.html
10,4643428,"SCREW, Striker",,,,4,1,,available,5.27,4.14,/parts/mopar-screw-flat-head~4643428.html
11,4642988,"INTERLOCK, Lower Door Restraint",,1992-93,,2,,,discontinued,,,
11,4763550,"INTERLOCK, Lower Door Restraint",,,,2,1,,available,3.1,2.44,/parts/mopar-seat-belt-lwr-dr-rsrnt-sys~4763550.html
12,4643427,"SPACER, Restraint",,1992-93,,,,,discontinued,,,/parts/mopar-spacer-lwr-dr-restraint-sill-mtg~4643427.html
12,4763553,"SPACER, Restraint",,,,,,,available,6.2,3.88,/parts/mopar-shim-lower-door-restraint~4763553.html
13,4708080,"INSULATOR, Restraint",,1992-93,,2,,,discontinued,,,
13,4763554,"INSULATOR, Restraint",,1994-96,,4,1,,discontinued,,,/parts/mopar-insulator-restraint-system~4763554.html
13,4763554,"INSULATOR, Restraint",,,,2,1,,discontinued,,,/parts/mopar-insulator-restraint-system~4763554.html
14,6101386,"SCREW, Interlock",,1992-93,,4,,,discontinued,,,
14,6503665,"SCREW, Interlock",,,,4,1,,discontinued,,,/parts/mopar-screw-flange-head~6503665.html
15,4708357,"CLIP, Remote Control Link",,,,2,,,discontinued,,,
