ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,6102101AA,NUT AND WASHER Hex M5x0.80,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",6,1,6508886AA,,,available,,14.51,0.9 x 0.9 x 0.5 inches,0.40 Pounds,/parts/mopar-nut-hex~6102101aa.html
2,TR36DAPAD,MIRROR Outside Rearview,,2006,"27; COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,TR36TZZAD,,Right [AP],available,612,513,9.1 x 8.8 x 6.7 inches,2.90 Pounds,/parts/mopar-mirror-outside-rearview~tr36dapad.html
2,TR36LRNAD,MIRROR Outside Rearview,,"2008-2010, 2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe; COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,TR36TZZAD,,Right [RN],available,612,513,8.7 x 8.7 x 6.6 inches,2.70 Pounds,/parts/mopar-mirror-outside-rearview~tr36lrnad.html
2,TR36MX3AD,MIRROR Outside Rearview,,"2010, 2008, 2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe; COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,TR36TZZAD,,Right [X3],available,612,513,8.7 x 8.8 x 6.7 inches,2.70 Pounds,/parts/mopar-mirror-outside-rearview~tr36mx3ad.html
2,TR36SBEAD,MIRROR Outside Rearview,,"2008, 2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe; COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,TR36TZZAD,,Right [BE],available,612,513,9.1 x 9.0 x 6.6 inches,2.70 Pounds,/parts/mopar-mirror-outside-rearview~tr36sbead.html
2,TR36VA9AD,MIRROR Outside Rearview,,"2010, 2006","27; ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,TR36TZZAD,,Right [A9],available,612,513,9.0 x 9.0 x 6.7 inches,2.80 Pounds,/parts/mopar-mirror-outside-rearview~tr36va9ad.html
2,TR36WYRAD,MIRROR Outside Rearview,,"2010, 2006","27; ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,TR36TZZAD,,Right [YR],available,612,513,8.7 x 8.8 x 6.8 inches,2.90 Pounds,/parts/mopar-mirror-outside-rearview~tr36wyrad.html
2,TR37CVRAD,MIRROR Outside Rearview,,2006,"27; COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,TR37TZZAD,,Left [VR],available,592,497.04,14.3 x 8.8 x 6.8 inches,3.60 Pounds,/parts/mopar-mirror-outside-rearview~tr37cvrad.html
2,TR37DAPAD,MIRROR Outside Rearview,,2006,"27; COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,TR37TZZAD,,Left [AP],available,592,497.04,14.3 x 8.7 x 6.7 inches,3.50 Pounds,/parts/mopar-mirror-outside-rearview~tr37dapad.html
2,TR37LRNAD,MIRROR Outside Rearview,,"2008-2010, 2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe; COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,TR37TZZAD,,Left [RN],available,592,497.04,13.8 x 8.6 x 6.8 inches,3.60 Pounds,/parts/mopar-mirror-outside-rearview~tr37lrnad.html
2,TR37MX3AD,MIRROR Outside Rearview,,"2010, 2008, 2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe; COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,TR37TZZAD,,Left [X3],available,592,497.04,13.6 x 8.8 x 6.9 inches,3.30 Pounds,/parts/mopar-mirror-outside-rearview~tr37mx3ad.html
2,TR37SBEAD,MIRROR Outside Rearview,,"2008, 2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe; COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,TR37TZZAD,,Left [BE],available,592,497.04,13.9 x 8.6 x 6.6 inches,3.80 Pounds,/parts/mopar-mirror-outside-rearview~tr37sbead.html
2,TR37VA9AD,MIRROR Outside Rearview,,"2010, 2006","27; ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,TR37TZZAD,,Left [A9],available,592,497.04,13.6 x 8.8 x 6.6 inches,3.40 Pounds,/parts/mopar-mirror-outside-rearview~tr37va9ad.html
2,TR37WYRAD,MIRROR Outside Rearview,,"2010, 2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe; COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,TR37TZZAD,,Left [YR],available,592,497.04,14.3 x 8.8 x 6.9 inches,3.40 Pounds,/parts/mopar-mirror-outside-rearview~tr37wyrad.html
